交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2014/5/2,TX,201405,8768,8843,8761,8841,86,0.98%,90635,8840,61896,8841,8842,8980,8509,,一般,
2014/5/2,TX,201406,8750,8812,8737,8810,84,0.96%,1954,8809,5292,8810,8811,8950,7508,,一般,
2014/5/2,TX,201409,8420,8508,8420,8506,79,0.94%,240,8506,2703,8506,8509,8659,7720,,一般,
2014/5/2,TX,201412,8412,8464,8405,8460,80,0.95%,131,8460,707,8459,8461,8603,7835,,一般,
2014/5/2,TX,201503,8338,8412,8338,8409,79,0.95%,74,8408,225,8407,8410,8552,8296,,一般,
2014/5/5,TX,201405,8864,8888,8802,8827,-13,-0.15%,94208,8828,59640,8827,8829,8980,8509,,一般,
2014/5/5,TX,201406,8816,8854,8772,8798,-11,-0.12%,1602,8798,5549,8797,8800,8950,7508,,一般,
2014/5/5,TX,201409,8535,8550,8470,8500,-6,-0.07%,227,8500,2704,8497,8500,8659,7720,,一般,
2014/5/5,TX,201412,8498,8498,8420,8451,-9,-0.11%,177,8451,795,8450,8453,8603,7835,,一般,
2014/5/5,TX,201503,8430,8446,8369,8400,-8,-0.10%,100,8400,232,8397,8400,8552,8296,,一般,
2014/5/6,TX,201405,8849,8889,8813,8885,57,0.65%,97864,8881,61444,8883,8885,8980,8509,,一般,
2014/5/6,TX,201406,8810,8855,8783,8852,54,0.61%,1970,8850,5781,8851,8853,8950,7508,,一般,
2014/5/6,TX,201409,8500,8550,8485,8545,45,0.53%,155,8544,2748,8545,8548,8659,7720,,一般,
2014/5/6,TX,201412,8470,8500,8438,8498,47,0.56%,79,8497,808,8497,8502,8603,7835,,一般,
2014/5/6,TX,201503,8410,8450,8388,8445,45,0.54%,92,8444,224,8445,8449,8552,8296,,一般,
2014/5/7,TX,201405,8845,8861,8809,8840,-41,-0.46%,104464,8839,60249,8839,8840,8980,8509,,一般,
2014/5/7,TX,201406,8820,8826,8779,8808,-42,-0.47%,1975,8809,5669,8808,8810,8950,7508,,一般,
2014/5/7,TX,201409,8505,8515,8480,8510,-34,-0.40%,179,8510,2747,8509,8511,8659,7720,,一般,
2014/5/7,TX,201412,8453,8466,8430,8464,-33,-0.39%,205,8464,938,8464,8466,8603,7835,,一般,
2014/5/7,TX,201503,8419,8420,8380,8412,-32,-0.38%,53,8412,236,8410,8413,8552,8296,,一般,
2014/5/8,TX,201405,8860,8887,8836,8881,42,0.48%,88751,8880,61193,8880,8882,8980,8509,,一般,
2014/5/8,TX,201406,8828,8853,8806,8848,39,0.44%,2492,8848,6669,8847,8849,8950,7508,,一般,
2014/5/8,TX,201409,8525,8551,8510,8545,35,0.41%,132,8545,2773,8544,8547,8659,7720,,一般,
2014/5/8,TX,201412,8479,8503,8465,8500,36,0.43%,56,8500,950,8498,8500,8603,7835,,一般,
2014/5/8,TX,201503,8427,8450,8415,8449,37,0.44%,65,8449,219,8445,8450,8552,8296,,一般,
