交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2003/7/1,TX,200307,4875,5044,4872,5038,153,3.13%,36268,5038,25897,5037,5038,5097,4170,,一般,
2003/7/1,TX,200308,4865,5034,4865,5031,160,3.28%,250,5031,788,5025,5031,5065,4805,,一般,
2003/7/1,TX,200309,4950,4950,4904,4950,118,2.44%,3,4990,148,4990,5049,5090,4081,,一般,
2003/7/1,TX,200312,4950,4990,4950,4990,156,3.23%,3,4987,49,4961,5045,5075,4020,,一般,
2003/7/1,TX,200403,4950,4950,4950,4950,145,3.02%,1,4958,38,5000,5050,5074,4081,,一般,
2003/7/2,TX,200307,5072,5156,5060,5140,102,2.02%,33444,5140,28039,5139,5140,5156,4170,,一般,
2003/7/2,TX,200308,5048,5146,5045,5146,115,2.29%,496,5146,1093,5120,5146,5146,4805,,一般,
2003/7/2,TX,200309,5080,5120,5050,5107,117,2.34%,41,5107,148,5107,5125,5120,4081,,一般,
2003/7/2,TX,200312,5055,5104,5055,5076,89,1.78%,5,5089,51,5076,5140,5104,4020,,一般,
2003/7/2,TX,200403,5100,5100,5100,5100,142,2.86%,1,5060,37,5060,5140,5100,4081,,一般,
2003/7/3,TX,200307,5194,5210,5111,5122,-18,-0.35%,38945,5122,30025,5122,5123,5210,4170,,一般,
2003/7/3,TX,200308,5209,5209,5100,5102,-44,-0.86%,588,5102,1499,5102,5108,5209,4805,,一般,
2003/7/3,TX,200309,5219,5219,5100,5116,9,0.18%,26,5116,149,5080,5122,5219,4081,,一般,
2003/7/3,TX,200312,5160,5248,5051,5200,111,2.18%,9,5200,54,5075,5148,5248,4020,,一般,
2003/7/3,TX,200403,5102,5102,5102,5102,42,0.83%,1,5102,38,5063,5150,5102,4081,,一般,
2003/7/4,TX,200307,5139,5196,5100,5191,69,1.35%,30814,5191,30898,5191,5192,5210,4170,,一般,
2003/7/4,TX,200308,5096,5180,5085,5180,78,1.53%,386,5180,1718,5180,5185,5209,4805,,一般,
2003/7/4,TX,200309,5120,5160,5115,5160,44,0.86%,5,5160,148,5160,5209,5219,4081,,一般,
2003/7/4,TX,200312,5080,5105,5075,5105,-95,-1.83%,3,5105,52,5115,5195,5248,4020,,一般,
2003/7/4,TX,200403,5149,5149,5149,5149,47,0.92%,1,5172,39,5115,5190,5149,4081,,一般,
2003/7/7,TX,200307,5218,5370,5211,5370,179,3.45%,37537,5370,29768,5368,5370,5370,4170,,一般,
2003/7/7,TX,200308,5200,5345,5200,5345,165,3.19%,928,5345,2164,5343,5345,5345,4805,,一般,
2003/7/7,TX,200309,5160,5345,5160,5345,185,3.59%,30,5345,139,5285,5399,5345,4081,,一般,
2003/7/7,TX,200312,5220,5305,5220,5305,200,3.92%,12,5305,49,5306,5350,5305,4020,,一般,
2003/7/7,TX,200403,5200,5289,5200,5262,90,1.74%,9,5262,39,5280,5345,5289,4081,,一般,
2003/7/8,TX,200307,5410,5432,5344,5382,12,0.22%,39375,5382,29854,5381,5382,5432,4170,,一般,
2003/7/8,TX,200308,5395,5420,5320,5366,21,0.39%,1193,5366,2726,5366,5367,5420,4805,,一般,
2003/7/8,TX,200309,5370,5382,5340,5340,-5,-0.09%,18,5385,142,5340,5385,5382,4081,,一般,
2003/7/8,TX,200312,5331,5370,5331,5331,26,0.49%,5,5331,52,5315,5385,5370,4020,,一般,
2003/7/8,TX,200403,5330,5330,5320,5320,58,1.10%,3,5320,39,5321,5395,5330,4081,,一般,
2003/7/9,TX,200307,5359,5403,5352,5375,-7,-0.13%,29772,5375,30408,5375,5376,5432,4170,,一般,
2003/7/9,TX,200308,5382,5390,5336,5366,0,0.00%,1003,5366,3319,5361,5368,5420,4805,,一般,
2003/7/9,TX,200309,5380,5380,5350,5350,-35,-0.65%,9,5350,148,5350,5375,5382,4081,,一般,
2003/7/9,TX,200312,-,-,-,-,-,-,0,5324,52,5338,5390,5370,4020,,一般,
2003/7/9,TX,200403,5302,5302,5301,5301,-19,-0.36%,2,5301,40,5308,5390,5330,4081,,一般,
2003/7/10,TX,200307,5365,5393,5250,5250,-125,-2.33%,39431,5250,27671,5250,5251,5432,4170,,一般,
2003/7/10,TX,200308,5350,5373,5240,5240,-126,-2.35%,2405,5240,4604,5240,5243,5420,4805,,一般,
2003/7/10,TX,200309,5360,5360,5230,5240,-110,-2.06%,14,5240,147,5235,5275,5382,4081,,一般,
2003/7/10,TX,200312,5300,5300,5240,5240,-84,-1.58%,7,5240,57,5213,5290,5370,4020,,一般,
2003/7/10,TX,200403,5300,5300,5272,5272,-29,-0.55%,3,5240,42,5221,5240,5330,4081,,一般,
2003/7/11,TX,200307,5206,5267,5174,5265,15,0.29%,30216,5265,24426,5262,5265,5432,4170,,一般,
2003/7/11,TX,200308,5200,5249,5161,5240,0,0.00%,5278,5240,7840,5233,5240,5420,4805,,一般,
2003/7/11,TX,200309,5180,5209,5160,5209,-31,-0.59%,19,5227,155,5211,5243,5382,4081,,一般,
2003/7/11,TX,200312,5163,5210,5163,5210,-30,-0.57%,2,5230,58,5171,5290,5370,4020,,一般,
2003/7/11,TX,200403,5181,5249,5170,5249,9,0.17%,7,5249,47,5182,5245,5330,4081,,一般,
2003/7/14,TX,200307,5265,5433,5265,5412,147,2.79%,34274,5412,17275,5411,5412,5433,4170,,一般,
2003/7/14,TX,200308,5280,5414,5223,5396,156,2.98%,16083,5396,15904,5396,5397,5420,4805,,一般,
2003/7/14,TX,200309,5280,5400,5280,5353,126,2.41%,12,5355,159,5355,5395,5400,4081,,一般,
2003/7/14,TX,200312,5310,5400,5310,5400,170,3.25%,3,5400,58,5338,5400,5400,4020,,一般,
2003/7/14,TX,200403,5280,5311,5270,5311,62,1.18%,6,5338,52,5338,5430,5330,4081,,一般,
