交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2008/6/2,TX,200806,8635,8709,8603,8700,51,0.59%,49486,8701,61013,8700,8703,9934,7310,,一般,
2008/6/2,TX,200807,8549,8600,8500,8594,51,0.60%,424,8594,2287,8590,8597,8930,8436,,一般,
2008/6/2,TX,200809,8398,8451,8365,8450,58,0.69%,38,8450,1618,8442,8453,9664,7143,,一般,
2008/6/2,TX,200812,8395,8451,8377,8446,51,0.61%,8,8446,766,8439,8451,9107,7180,,一般,
2008/6/2,TX,200903,8408,8408,8370,8370,-14,-0.17%,4,8440,48,8434,8446,9095,8315,,一般,
2008/6/3,TX,200806,8644,8657,8510,8540,-161,-1.85%,55854,8538,62063,8536,8540,9934,7310,,一般,
2008/6/3,TX,200807,8568,8568,8402,8430,-164,-1.91%,780,8430,2739,8427,8434,8930,8402,,一般,
2008/6/3,TX,200809,8385,8395,8257,8289,-161,-1.91%,121,8289,1715,8283,8290,9664,7143,,一般,
2008/6/3,TX,200812,8363,8393,8270,8285,-161,-1.91%,22,8285,770,8279,8288,9107,7180,,一般,
2008/6/3,TX,200903,8343,8343,8290,8290,-150,-1.78%,5,8290,53,8273,8291,9095,8290,,一般,
2008/6/4,TX,200806,8540,8619,8526,8592,54,0.63%,44304,8592,62687,8591,8592,9934,7310,,一般,
2008/6/4,TX,200807,8430,8508,8420,8485,55,0.65%,459,8485,2803,8484,8487,8930,8402,,一般,
2008/6/4,TX,200809,8282,8354,8280,8331,42,0.51%,48,8331,1722,8330,8333,9664,7143,,一般,
2008/6/4,TX,200812,8280,8336,8280,8331,46,0.56%,17,8331,762,8330,8334,9107,7180,,一般,
2008/6/4,TX,200903,8345,8345,8333,8333,43,0.52%,3,8333,54,8316,8332,9095,8290,,一般,
