交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2013/10/1,TX,201310,8153,8175,8138,8150,29,0.36%,72550,8149,52747,8149,8150,8273,7652,,一般,
2013/10/1,TX,201311,8110,8141,8106,8115,24,0.30%,954,8115,2248,8115,8116,8247,8056,,一般,
2013/10/1,TX,201312,8100,8115,8083,8090,22,0.27%,343,8090,2901,8088,8090,8225,7280,,一般,
2013/10/1,TX,201403,8036,8068,8036,8043,18,0.22%,44,8043,996,8042,8047,8182,7365,,一般,
2013/10/1,TX,201406,8018,8029,7998,8002,15,0.19%,60,8002,481,8002,8006,8146,7508,,一般,
2013/10/2,TX,201310,8185,8192,8157,8157,8,0.10%,66374,8159,52455,8157,8160,8273,7652,,一般,
2013/10/2,TX,201311,8145,8158,8126,8128,13,0.16%,840,8128,2419,8127,8130,8247,8056,,一般,
2013/10/2,TX,201312,8130,8130,8100,8100,10,0.12%,162,8101,2977,8099,8102,8225,7280,,一般,
2013/10/2,TX,201403,8081,8083,8054,8054,11,0.14%,19,8054,998,8051,8056,8182,7365,,一般,
2013/10/2,TX,201406,8040,8043,8013,8016,14,0.17%,28,8016,487,8008,8014,8146,7508,,一般,
2013/10/3,TX,201310,8172,8385,8171,8378,219,2.68%,121376,8377,55679,8377,8378,8385,7652,,一般,
2013/10/3,TX,201311,8139,8360,8139,8359,231,2.84%,3302,8359,2329,8357,8360,8360,8056,,一般,
2013/10/3,TX,201312,8102,8331,8102,8331,230,2.84%,471,8331,3083,8330,8335,8331,7280,,一般,
2013/10/3,TX,201403,8088,8285,8088,8285,231,2.87%,246,8285,1011,8281,8285,8285,7365,,一般,
2013/10/3,TX,201406,8038,8237,8038,8237,221,2.76%,199,8237,605,8233,8236,8237,7508,,一般,
2013/10/4,TX,201310,8357,8393,8345,8366,-11,-0.13%,76363,8366,54786,8365,8367,8393,7652,,一般,
2013/10/4,TX,201311,8345,8377,8327,8353,-6,-0.07%,2138,8352,2880,8351,8353,8377,8056,,一般,
2013/10/4,TX,201312,8350,8352,8308,8333,2,0.02%,280,8333,3154,8328,8332,8352,7280,,一般,
2013/10/4,TX,201403,8266,8300,8255,8283,-2,-0.02%,170,8283,1065,8278,8280,8300,7365,,一般,
2013/10/4,TX,201406,8215,8249,8208,8227,-10,-0.12%,176,8227,746,8226,8232,8249,7508,,一般,
2013/10/7,TX,201310,8367,8370,8296,8326,-40,-0.48%,68526,8325,51571,8325,8326,8393,7652,,一般,
2013/10/7,TX,201311,8383,8383,8280,8304,-48,-0.57%,2252,8304,3096,8303,8306,8383,8056,,一般,
2013/10/7,TX,201312,8350,8350,8260,8286,-47,-0.56%,191,8286,3175,8283,8286,8352,7280,,一般,
2013/10/7,TX,201403,8296,8296,8211,8234,-49,-0.59%,90,8234,1098,8234,8237,8300,7365,,一般,
2013/10/7,TX,201406,8267,8267,8167,8184,-43,-0.52%,91,8184,746,8182,8187,8267,7508,,一般,
2013/10/8,TX,201310,8302,8383,8291,8374,49,0.59%,86038,8373,49503,8374,8375,8393,7652,,一般,
2013/10/8,TX,201311,8283,8366,8270,8356,52,0.63%,3399,8356,4653,8356,8357,8383,8056,,一般,
2013/10/8,TX,201312,8265,8344,8248,8337,51,0.62%,113,8337,3189,8334,8338,8352,7280,,一般,
2013/10/8,TX,201403,8218,8292,8200,8286,52,0.63%,98,8286,1090,8283,8286,8300,7365,,一般,
2013/10/8,TX,201406,8172,8235,8152,8234,50,0.61%,42,8234,757,8232,8236,8267,7508,,一般,
2013/10/9,TX,201310,8324,8377,8319,8335,-38,-0.45%,72882,8338,47316,8335,8337,8393,7652,,一般,
2013/10/9,TX,201311,8313,8358,8301,8318,-38,-0.45%,3302,8320,5712,8318,8320,8383,8056,,一般,
2013/10/9,TX,201312,8297,8336,8283,8300,-37,-0.44%,207,8299,3148,8296,8300,8352,7280,,一般,
2013/10/9,TX,201403,8246,8280,8235,8254,-32,-0.39%,30,8254,1096,8244,8249,8300,7365,,一般,
2013/10/9,TX,201406,8180,8230,8180,8191,-43,-0.52%,42,8191,755,8195,8199,8267,7508,,一般,
2013/10/11,TX,201310,8439,8450,8355,8361,23,0.28%,95865,8361,41885,8361,8362,8450,7652,,一般,
2013/10/11,TX,201311,8401,8435,8339,8347,27,0.32%,9232,8346,9766,8345,8347,8435,8056,,一般,
2013/10/11,TX,201312,8445,8445,8326,8330,31,0.37%,316,8327,3142,8326,8331,8445,7280,,一般,
2013/10/11,TX,201403,8335,8358,8275,8275,21,0.25%,304,8275,1278,8275,8279,8358,7365,,一般,
2013/10/11,TX,201406,8260,8304,8216,8220,29,0.35%,125,8220,770,8221,8226,8304,7508,,一般,
2013/10/14,TX,201310,8345,8348,8273,8294,-67,-0.80%,94880,8294,31146,8294,8296,8450,7652,,一般,
2013/10/14,TX,201311,8341,8341,8261,8280,-66,-0.79%,16385,8279,17798,8278,8281,8435,8056,,一般,
2013/10/14,TX,201312,8328,8328,8242,8259,-68,-0.82%,283,8258,3217,8257,8260,8445,7280,,一般,
2013/10/14,TX,201403,8250,8250,8191,8210,-65,-0.79%,77,8210,1275,8207,8211,8358,7365,,一般,
2013/10/14,TX,201406,8210,8210,8142,8150,-70,-0.85%,57,8150,778,8157,8162,8304,7508,,一般,
2013/10/15,TX,201310,8359,8385,8338,8354,60,0.72%,86777,8355,20312,8354,8355,8450,7652,,一般,
2013/10/15,TX,201311,8333,8372,8325,8344,65,0.79%,26734,8344,33004,8343,8344,8435,8056,,一般,
2013/10/15,TX,201312,8321,8345,8306,8323,65,0.79%,368,8323,3301,8321,8324,8445,7280,,一般,
2013/10/15,TX,201403,8266,8298,8260,8276,66,0.80%,68,8276,1264,8269,8273,8358,7365,,一般,
2013/10/15,TX,201406,8204,8245,8202,8222,72,0.88%,52,8222,777,8216,8222,8304,7508,,一般,
2013/10/16,TX,201310,8372,8377,8340,8345,-10,-0.12%,36523,0,10294,8344,8345,8450,7652,,一般,
2013/10/16,TX,201311,8351,8367,8323,8334,-10,-0.12%,49294,8332,43227,8334,8335,8435,8056,,一般,
2013/10/16,TX,201312,8323,8343,8305,8312,-11,-0.13%,236,8312,3394,8311,8315,8445,7280,,一般,
2013/10/16,TX,201403,8276,8290,8255,8260,-16,-0.19%,81,8260,1263,8260,8265,8358,7365,,一般,
2013/10/16,TX,201406,8230,8238,8201,8210,-12,-0.15%,39,8210,790,8206,8215,8304,7508,,一般,
2013/10/17,TX,201311,8380,8422,8356,8363,31,0.37%,76826,8364,45470,8362,8364,8435,8056,,一般,
2013/10/17,TX,201312,8372,8399,8334,8343,31,0.37%,684,8344,3636,8341,8344,8445,7280,,一般,
2013/10/17,TX,201403,8310,8344,8288,8291,31,0.38%,82,8291,1239,8287,8290,8358,7365,,一般,
2013/10/17,TX,201406,8270,8284,8235,8243,33,0.40%,128,8243,828,8235,8239,8304,7508,,一般,
2013/10/17,TX,201409,8045,8069,7999,8004,-173,-2.12%,222,8004,167,8000,8003,8069,7999,,一般,
2013/10/18,TX,201311,8382,8429,8373,8416,52,0.62%,71072,8417,47051,8416,8418,8435,8056,,一般,
2013/10/18,TX,201312,8351,8405,8351,8394,50,0.60%,787,8395,3725,8394,8396,8445,7280,,一般,
2013/10/18,TX,201403,8305,8350,8300,8350,59,0.71%,88,8350,1245,8338,8342,8358,7365,,一般,
2013/10/18,TX,201406,8255,8297,8248,8288,45,0.55%,54,8288,814,8287,8291,8304,7508,,一般,
2013/10/18,TX,201409,8034,8048,8000,8046,42,0.52%,60,8046,187,8041,8046,8069,7999,,一般,
2013/10/21,TX,201311,8441,8445,8393,8401,-16,-0.19%,59834,8400,45875,8399,8401,8445,8056,,一般,
2013/10/21,TX,201312,8425,8425,8374,8380,-15,-0.18%,545,8381,3807,8380,8382,8445,7280,,一般,
2013/10/21,TX,201403,8363,8368,8326,8330,-20,-0.24%,100,8330,1264,8328,8330,8368,7365,,一般,
2013/10/21,TX,201406,8304,8304,8274,8277,-11,-0.13%,16,8277,811,8274,8278,8304,7508,,一般,
2013/10/21,TX,201409,8050,8052,8005,8030,-16,-0.20%,94,8030,189,8028,8033,8069,7999,,一般,
2013/10/22,TX,201311,8377,8423,8352,8414,14,0.17%,75663,8416,47463,8414,8415,8445,8056,,一般,
2013/10/22,TX,201312,8360,8400,8332,8397,16,0.19%,921,8396,3832,8394,8396,8445,7280,,一般,
2013/10/22,TX,201403,8315,8346,8279,8343,13,0.16%,72,8343,1298,8339,8343,8368,7365,,一般,
2013/10/22,TX,201406,8254,8295,8230,8284,7,0.08%,63,8284,783,8288,8292,8304,7508,,一般,
2013/10/22,TX,201409,8000,8049,7991,8044,14,0.17%,69,8044,214,8041,8044,8069,7991,,一般,
2013/10/23,TX,201311,8436,8440,8340,8361,-55,-0.65%,95797,8359,46032,8359,8361,8445,8056,,一般,
2013/10/23,TX,201312,8410,8417,8322,8338,-58,-0.69%,1073,8339,3966,8338,8340,8445,7280,,一般,
2013/10/23,TX,201403,8370,8370,8269,8288,-55,-0.66%,89,8288,1317,8285,8290,8370,7365,,一般,
2013/10/23,TX,201406,8310,8310,8220,8234,-50,-0.60%,83,8234,765,8234,8240,8310,7508,,一般,
2013/10/23,TX,201409,8064,8064,7971,7989,-55,-0.68%,81,7989,245,7985,7990,8069,7971,,一般,
2013/10/24,TX,201311,8348,8400,8326,8391,32,0.38%,78189,8393,44086,8391,8392,8445,8056,,一般,
2013/10/24,TX,201312,8329,8377,8307,8371,32,0.38%,989,8372,3924,8370,8371,8445,7280,,一般,
2013/10/24,TX,201403,8272,8320,8272,8320,32,0.39%,39,8320,1333,8315,8320,8370,7365,,一般,
2013/10/24,TX,201406,8235,8271,8209,8268,34,0.41%,39,8268,775,8264,8269,8310,7508,,一般,
