交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2006/10/2,TX,200610,6870,6975,6860,6959,82,1.19%,38959,6959,36186,6959,6960,6983,6363,,一般,
2006/10/2,TX,200611,6879,6966,6879,6951,71,1.03%,286,6951,310,6949,6956,6976,6820,,一般,
2006/10/2,TX,200612,6870,6965,6870,6960,97,1.41%,34,6960,734,6955,6968,7330,6052,,一般,
2006/10/2,TX,200703,6910,6955,6910,6935,50,0.73%,6,6966,90,6945,6988,7330,6005,,一般,
2006/10/2,TX,200706,-,-,-,-,-,-,0,6976,34,6900,6995,6989,6220,,一般,
2006/10/3,TX,200610,6947,6963,6925,6940,-19,-0.27%,21877,6940,35986,6940,6941,6983,6363,,一般,
2006/10/3,TX,200611,6931,6959,6921,6940,-11,-0.16%,144,6940,392,6940,6944,6976,6820,,一般,
2006/10/3,TX,200612,6940,6950,6930,6950,-10,-0.14%,7,6942,735,6930,6955,7330,6052,,一般,
2006/10/3,TX,200703,-,-,-,-,-,-,0,6947,90,6922,6966,7330,6005,,一般,
2006/10/3,TX,200706,-,-,-,-,-,-,0,6957,34,6885,6981,6989,6220,,一般,
2006/10/4,TX,200610,6948,6970,6856,6867,-73,-1.05%,38041,6867,35930,6866,6867,6983,6363,,一般,
2006/10/4,TX,200611,6960,6963,6859,6867,-73,-1.05%,314,6867,543,6865,6867,6976,6820,,一般,
2006/10/4,TX,200612,6960,6960,6855,6860,-82,-1.18%,22,6860,739,6850,6873,7330,6052,,一般,
2006/10/4,TX,200703,6938,6938,6860,6860,-87,-1.25%,6,6872,90,6854,6890,7330,6005,,一般,
2006/10/4,TX,200706,-,-,-,-,-,-,0,6884,34,6840,6910,6989,6220,,一般,
2006/10/5,TX,200610,6934,7015,6920,7012,145,2.11%,39715,7012,35111,7011,7012,7015,6363,,一般,
2006/10/5,TX,200611,6916,7017,6916,7005,138,2.01%,615,7005,733,7005,7006,7017,6820,,一般,
2006/10/5,TX,200612,6935,7010,6920,7008,148,2.16%,45,7008,739,7002,7015,7330,6052,,一般,
2006/10/5,TX,200703,6900,7008,6900,7008,136,1.98%,14,7008,91,6993,7025,7330,6005,,一般,
2006/10/5,TX,200706,-,-,-,-,-,-,0,7029,34,6950,7040,6989,6220,,一般,
2006/10/11,TX,200610,7043,7058,6987,7009,-3,-0.04%,19733,7009,35814,7009,7010,7058,6363,,一般,
2006/10/11,TX,200611,7004,7036,6990,7008,3,0.04%,625,7008,1074,7008,7009,7036,6820,,一般,
2006/10/11,TX,200612,7030,7090,6992,7000,-8,-0.11%,18,7000,737,6993,7019,7330,6052,,一般,
2006/10/11,TX,200703,7025,7025,7025,7025,17,0.24%,1,7019,90,6995,7044,7330,6005,,一般,
2006/10/11,TX,200706,-,-,-,-,-,-,0,7026,34,6941,7049,6989,6220,,一般,
2006/10/12,TX,200610,7012,7038,6965,6981,-28,-0.40%,28286,6981,35253,6981,6982,7058,6363,,一般,
2006/10/12,TX,200611,7020,7032,6966,6979,-29,-0.41%,1229,6979,1663,6975,6980,7036,6820,,一般,
2006/10/12,TX,200612,7015,7015,6987,6987,-13,-0.19%,2,6964,736,6964,6965,7330,6052,,一般,
2006/10/12,TX,200703,6990,6990,6969,6969,-50,-0.71%,4,6969,92,6969,7068,7330,6005,,一般,
2006/10/12,TX,200706,-,-,-,-,-,-,0,6998,34,6941,7037,6989,6220,,一般,
2006/10/13,TX,200610,7066,7109,7039,7080,99,1.42%,32782,7080,33402,7080,7081,7109,6363,,一般,
2006/10/13,TX,200611,7038,7098,7034,7065,86,1.23%,4014,7065,4274,7065,7068,7098,6820,,一般,
2006/10/13,TX,200612,7051,7095,7040,7070,106,1.52%,16,7073,737,7069,7077,7330,6052,,一般,
2006/10/13,TX,200703,7050,7097,7043,7085,116,1.66%,7,7077,93,7054,7100,7330,6005,,一般,
2006/10/13,TX,200706,7049,7049,7045,7045,47,0.67%,2,7089,33,7051,7128,7049,6220,,一般,
2006/10/14,TX,200610,7089,7102,7070,7102,22,0.31%,14484,7102,32519,7101,7102,7109,6363,,一般,
2006/10/14,TX,200611,7070,7090,7060,7090,25,0.35%,2879,7090,6272,7088,7090,7098,6820,,一般,
2006/10/14,TX,200612,7070,7075,7065,7068,-5,-0.07%,13,7087,735,7080,7095,7330,6052,,一般,
2006/10/14,TX,200703,7077,7078,7077,7078,1,0.01%,2,7100,95,7062,7139,7330,6005,,一般,
2006/10/14,TX,200706,-,-,-,-,-,-,0,7111,33,7041,7100,7049,6220,,一般,
2006/10/16,TX,200610,7111,7164,7093,7143,41,0.58%,29394,7143,29046,7142,7143,7164,6363,,一般,
2006/10/16,TX,200611,7090,7152,7085,7131,41,0.58%,9863,7131,11958,7131,7132,7152,6820,,一般,
2006/10/16,TX,200612,7120,7152,7100,7131,44,0.62%,41,7131,757,7125,7144,7330,6052,,一般,
2006/10/16,TX,200703,7139,7150,7125,7150,50,0.70%,5,7151,93,7129,7173,7330,6005,,一般,
2006/10/16,TX,200706,-,-,-,-,-,-,0,7152,33,7080,7196,7049,6220,,一般,
2006/10/17,TX,200610,7140,7140,7076,7076,-67,-0.94%,29787,7076,19117,7075,7076,7164,6363,,一般,
2006/10/17,TX,200611,7130,7130,7070,7078,-53,-0.74%,17431,7078,22146,7076,7078,7152,6820,,一般,
2006/10/17,TX,200612,7110,7116,7070,7070,-61,-0.86%,105,7070,817,7070,7074,7330,6052,,一般,
2006/10/17,TX,200703,7110,7110,7070,7070,-81,-1.13%,6,7052,95,7020,7085,7330,6005,,一般,
2006/10/17,TX,200706,7115,7115,7085,7085,-67,-0.94%,3,7085,31,7021,7150,7115,6220,,一般,
2006/10/18,TX,200610,7051,7057,6976,7025,-51,-0.72%,22247,7025,8918,7024,7025,7164,6363,,一般,
2006/10/18,TX,200611,7054,7056,6973,7019,-59,-0.83%,32028,7019,29680,7018,7019,7152,6820,,一般,
2006/10/18,TX,200612,7045,7045,6975,7010,-60,-0.85%,84,7014,859,7010,7019,7330,6052,,一般,
2006/10/18,TX,200703,7035,7035,6990,6990,-62,-0.88%,11,7041,105,7015,7068,7330,6005,,一般,
2006/10/18,TX,200706,-,-,-,-,-,-,0,7034,31,7001,7060,7115,6220,,一般,
2006/10/19,TX,200611,7004,7033,6961,6981,-38,-0.54%,32306,6981,33856,6980,6981,7152,6820,,一般,
2006/10/19,TX,200612,7000,7028,6960,6980,-34,-0.48%,110,6980,935,6974,6980,7330,6052,,一般,
2006/10/19,TX,200703,6994,7018,6982,6994,-47,-0.67%,9,6987,112,6974,7001,7330,6005,,一般,
2006/10/19,TX,200706,6991,7003,6975,6975,-59,-0.84%,6,6970,34,6950,6990,7115,6220,,一般,
2006/10/19,TX,200709,6969,6969,6845,6880,-,-,19,6852,17,6835,6870,6969,6845,,一般,
2006/10/20,TX,200611,7007,7026,6997,7017,36,0.52%,19252,7017,34405,7017,7018,7152,6820,,一般,
2006/10/20,TX,200612,7028,7028,6999,7018,38,0.54%,44,7018,952,7017,7020,7330,6052,,一般,
2006/10/20,TX,200703,7017,7030,7010,7025,38,0.54%,28,7024,138,7014,7034,7330,6005,,一般,
2006/10/20,TX,200706,7000,7010,7000,7010,40,0.57%,3,6980,36,6920,7040,7115,6220,,一般,
2006/10/20,TX,200709,6881,6885,6879,6885,33,0.48%,8,6885,17,6858,6896,6969,6845,,一般,
2006/10/23,TX,200611,7028,7050,6977,7049,32,0.46%,25923,7049,34140,7048,7049,7152,6820,,一般,
2006/10/23,TX,200612,7017,7048,6980,7048,30,0.43%,89,7048,971,7047,7048,7330,6052,,一般,
2006/10/23,TX,200703,7000,7048,7000,7048,24,0.34%,3,7048,141,7020,7060,7330,6005,,一般,
2006/10/23,TX,200706,7022,7048,7022,7048,68,0.97%,3,7048,35,7025,7050,7115,6220,,一般,
2006/10/23,TX,200709,6900,6906,6808,6906,21,0.31%,30,6906,36,6816,6907,6969,6808,,一般,
2006/10/24,TX,200611,7074,7120,7058,7097,48,0.68%,31856,7097,35414,7096,7097,7152,6820,,一般,
2006/10/24,TX,200612,7072,7115,7058,7092,44,0.62%,439,7092,891,7087,7092,7330,6052,,一般,
2006/10/24,TX,200703,7070,7110,7070,7091,43,0.61%,5,7095,142,7090,7100,7330,6005,,一般,
2006/10/24,TX,200706,7088,7088,7088,7088,40,0.57%,1,7065,35,7050,7080,7115,6220,,一般,
2006/10/24,TX,200709,6927,6963,6927,6930,24,0.35%,8,6942,42,6935,6949,6969,6808,,一般,
