交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2017/8/1,TX,201708,10368,10424,10361,10367,12,0.12%,124991,10367,75334,10367,10369,10466,10066,,一般,
2017/8/1,TX,201708,10356,10373,10342,10348,-7,-0.07%,8491,-,-,10347,10348,10466,10066,,盤後,
2017/8/1,TX,201709,10329,10388,10329,10335,11,0.11%,2906,10334,13492,10333,10336,10433,8430,,一般,
2017/8/1,TX,201709,10323,10342,10313,10317,-7,-0.07%,229,-,-,10316,10318,10433,8430,,盤後,
2017/8/1,TX,201712,10292,10351,10292,10296,11,0.11%,234,10297,6185,10295,10299,10396,8856,,一般,
2017/8/1,TX,201712,10299,10300,10274,10280,-5,-0.05%,10,-,-,10277,10281,10396,8856,,盤後,
2017/8/1,TX,201803,10261,10314,10258,10261,14,0.14%,178,10261,2134,10257,10262,10360,9146,,一般,
2017/8/1,TX,201803,10255,10260,10255,10260,13,0.13%,2,-,-,10239,10243,10360,9146,,盤後,
2017/8/1,TX,201806,10210,10266,10210,10214,8,0.08%,62,10214,184,10209,10216,10315,10150,,一般,
2017/8/1,TX,201806,10191,10191,10191,10191,-15,-0.15%,1,-,-,10190,10198,10315,10150,,盤後,
2017/8/2,TX,201708,10420,10471,10415,10453,86,0.83%,119144,10453,77698,10453,10454,10471,10066,,一般,
2017/8/2,TX,201708,10373,10394,10371,10393,26,0.25%,9566,-,-,10393,10394,10466,10066,,盤後,
2017/8/2,TX,201709,10384,10434,10381,10419,85,0.82%,3442,10419,13777,10419,10420,10434,8430,,一般,
2017/8/2,TX,201709,10342,10359,10339,10359,25,0.24%,218,-,-,10358,10360,10433,8430,,盤後,
2017/8/2,TX,201712,10346,10394,10342,10380,83,0.81%,290,10381,6157,10378,10381,10396,8856,,一般,
2017/8/2,TX,201712,10305,10320,10303,10320,23,0.22%,15,-,-,10319,10320,10396,8856,,盤後,
2017/8/2,TX,201803,10315,10355,10308,10342,81,0.79%,185,10342,2119,10338,10341,10360,9146,,一般,
2017/8/2,TX,201803,10274,10275,10274,10275,14,0.14%,2,-,-,10283,10284,10360,9146,,盤後,
2017/8/2,TX,201806,10259,10300,10255,10291,77,0.75%,86,10291,194,10288,10291,10315,10150,,一般,
2017/8/2,TX,201806,10224,10224,10222,10222,8,0.08%,2,-,-,10227,10239,10315,10150,,盤後,
2017/8/3,TX,201708,10420,10430,9408,10406,-47,-0.45%,135087,10407,77443,10406,10407,10471,9408,,一般,
2017/8/3,TX,201708,10458,10470,10426,10451,-2,-0.02%,14649,-,-,10451,10452,10471,10066,,盤後,
2017/8/3,TX,201709,10393,10394,9387,10375,-44,-0.42%,3815,10373,13962,10372,10374,10434,8430,,一般,
2017/8/3,TX,201709,10433,10434,10393,10419,0,0.00%,466,-,-,10415,10419,10434,8430,,盤後,
2017/8/3,TX,201712,10354,10355,9351,10331,-50,-0.48%,341,10331,6124,10330,10332,10396,8856,,一般,
2017/8/3,TX,201712,10384,10386,10357,10380,-1,-0.01%,27,-,-,10376,10380,10396,8856,,盤後,
2017/8/3,TX,201803,10315,10317,9361,10295,-47,-0.45%,163,10295,2140,10290,10294,10360,9146,,一般,
2017/8/3,TX,201803,10344,10349,10319,10319,-23,-0.22%,13,-,-,10336,10340,10360,9146,,盤後,
2017/8/3,TX,201806,10265,10266,9456,10244,-47,-0.46%,87,10244,206,10238,10245,10315,9456,,一般,
2017/8/3,TX,201806,10295,10300,10270,10275,-16,-0.16%,8,-,-,10283,10290,10315,10150,,盤後,
2017/8/4,TX,201708,10401,10456,10401,10439,32,0.31%,82751,10439,79406,10439,10441,10471,9408,,一般,
2017/8/4,TX,201708,10411,10416,10396,10398,-9,-0.09%,8653,-,-,10398,10399,10471,9408,,盤後,
2017/8/4,TX,201709,10367,10420,10367,10404,31,0.30%,2691,10403,14785,10404,10405,10434,8430,,一般,
2017/8/4,TX,201709,10373,10380,10363,10363,-10,-0.10%,193,-,-,10363,10365,10434,8430,,盤後,
2017/8/4,TX,201712,10341,10382,10330,10365,34,0.33%,288,10365,6207,10364,10367,10396,8856,,一般,
