交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
1999/4/1,TX,199904,6920,7117,6916,7110,175,2.52%,4887,7110,6841,-,-,7157,6251,,一般,
1999/4/1,TX,199905,6968,7128,6937,7121,153,2.20%,241,7121,426,-,-,7185,6800,,一般,
1999/4/1,TX,199906,6965,7120,6960,7120,155,2.23%,44,7120,204,-,-,7560,5602,,一般,
1999/4/1,TX,199909,6961,7083,6961,7083,122,1.75%,10,7151,50,-,-,7600,5631,,一般,
1999/4/1,TX,199912,6953,7056,6953,6990,37,0.53%,6,7066,39,-,-,7240,5631,,一般,
1999/4/2,TX,199904,7137,7390,7130,7366,256,3.60%,5807,7366,5940,-,-,7390,6251,,一般,
1999/4/2,TX,199905,7150,7394,7150,7360,239,3.36%,407,7360,480,-,-,7394,6800,,一般,
1999/4/2,TX,199906,7168,7375,7150,7370,250,3.51%,71,7357,211,-,-,7560,5602,,一般,
1999/4/2,TX,199909,7249,7400,7150,7150,-1,-0.01%,10,7342,57,-,-,7600,5631,,一般,
1999/4/2,TX,199912,7190,7361,7190,7301,235,3.33%,8,7400,41,-,-,7361,5631,,一般,
1999/4/3,TX,199904,7379,7388,7280,7305,-61,-0.83%,4636,7305,6181,-,-,7390,6251,,一般,
1999/4/3,TX,199905,7411,7411,7280,7319,-41,-0.56%,288,7319,537,-,-,7411,6800,,一般,
1999/4/3,TX,199906,7390,7390,7300,7306,-51,-0.69%,25,7306,219,-,-,7560,5602,,一般,
1999/4/3,TX,199909,7392,7392,7300,7305,-37,-0.50%,19,7335,60,-,-,7600,5631,,一般,
1999/4/3,TX,199912,7303,7383,7302,7383,-17,-0.23%,4,7339,42,-,-,7383,5631,,一般,
1999/4/6,TX,199904,7351,7365,7280,7314,9,0.12%,2770,7314,6717,-,-,7390,6251,,一般,
1999/4/6,TX,199905,7350,7378,7296,7311,-8,-0.11%,212,7311,621,-,-,7411,6800,,一般,
1999/4/6,TX,199906,7310,7335,7301,7301,-5,-0.07%,12,7310,223,-,-,7560,5602,,一般,
1999/4/6,TX,199909,7310,7310,7310,7310,-25,-0.34%,3,7325,62,-,-,7600,5631,,一般,
1999/4/6,TX,199912,7319,7319,7310,7310,-29,-0.40%,3,7329,45,-,-,7383,5631,,一般,
1999/4/7,TX,199904,7310,7320,7235,7274,-40,-0.55%,3160,7274,7172,-,-,7390,6251,,一般,
1999/4/7,TX,199905,7302,7349,7250,7290,-21,-0.29%,255,7290,692,-,-,7411,6800,,一般,
1999/4/7,TX,199906,7310,7310,7270,7285,-25,-0.34%,26,7290,234,-,-,7560,5602,,一般,
1999/4/7,TX,199909,7275,7319,7275,7319,-6,-0.08%,3,7285,60,-,-,7600,5631,,一般,
1999/4/7,TX,199912,7288,7319,7288,7319,-10,-0.14%,2,7289,45,-,-,7383,5631,,一般,
1999/4/8,TX,199904,7308,7435,7302,7380,106,1.46%,4669,7380,6972,-,-,7435,6251,,一般,
1999/4/8,TX,199905,7320,7448,7320,7401,111,1.52%,459,7401,809,-,-,7448,6800,,一般,
1999/4/8,TX,199906,7342,7459,7336,7406,116,1.59%,37,7412,245,-,-,7560,5602,,一般,
1999/4/8,TX,199909,7450,7450,7450,7450,165,2.26%,1,7391,59,-,-,7600,5631,,一般,
1999/4/8,TX,199912,-,-,-,-,-,-,0,7448,45,-,-,7383,5631,,一般,
