交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2005/3/1,TX,200503,6233,6250,6209,6250,31,0.50%,21190,6250,35224,6250,6251,7190,5110,,一般,
2005/3/1,TX,200504,6220,6249,6212,6248,28,0.45%,301,6248,696,6245,6248,6249,6043,,一般,
2005/3/1,TX,200506,6213,6240,6213,6240,21,0.34%,8,6239,688,6230,6249,6240,5010,,一般,
2005/3/1,TX,200509,6150,6176,6150,6176,26,0.42%,9,6176,732,6151,6179,6176,5512,,一般,
2005/3/1,TX,200512,6150,6150,6150,6150,27,0.44%,1,6170,28,6150,6190,6159,5700,,一般,
2005/3/2,TX,200503,6259,6259,6191,6200,-50,-0.80%,27486,6200,35410,6199,6200,7190,5110,,一般,
2005/3/2,TX,200504,6200,6259,6195,6205,-43,-0.69%,420,6205,858,6205,6206,6259,6043,,一般,
2005/3/2,TX,200506,6230,6233,6200,6200,-39,-0.63%,10,6208,690,6200,6216,6240,5010,,一般,
2005/3/2,TX,200509,6170,6170,6123,6137,-39,-0.63%,16,6125,742,6111,6139,6176,5512,,一般,
2005/3/2,TX,200512,6170,6170,6150,6150,-20,-0.32%,4,6136,28,6120,6153,6170,5700,,一般,
2005/3/3,TX,200503,6200,6223,6156,6204,4,0.06%,32997,6204,34618,6204,6205,7190,5110,,一般,
2005/3/3,TX,200504,6203,6225,6164,6211,6,0.10%,548,6211,1068,6211,6213,6259,6043,,一般,
2005/3/3,TX,200506,6195,6219,6170,6219,11,0.18%,33,6214,690,6197,6231,6240,5010,,一般,
2005/3/3,TX,200509,6125,6140,6100,6140,15,0.24%,25,6137,762,6130,6145,6176,5512,,一般,
2005/3/3,TX,200512,6147,6147,6147,6147,11,0.18%,1,6147,29,6120,6147,6170,5700,,一般,
2005/3/4,TX,200503,6191,6219,6175,6198,-6,-0.10%,21080,6198,34803,6198,6199,7190,5110,,一般,
2005/3/4,TX,200504,6195,6220,6180,6200,-11,-0.18%,357,6200,1245,6198,6200,6259,6043,,一般,
2005/3/4,TX,200506,6204,6220,6171,6190,-24,-0.39%,79,6190,713,6187,6190,6240,5010,,一般,
2005/3/4,TX,200509,6111,6134,6092,6110,-27,-0.44%,62,6110,814,6100,6115,6176,5512,,一般,
2005/3/4,TX,200512,6126,6132,6110,6110,-37,-0.60%,3,6114,29,6103,6126,6170,5700,,一般,
2005/3/7,TX,200503,6245,6257,6220,6231,33,0.53%,22438,6231,35901,6231,6232,7190,5110,,一般,
2005/3/7,TX,200504,6220,6251,6220,6230,30,0.48%,612,6230,1520,6228,6230,6259,6043,,一般,
2005/3/7,TX,200506,6242,6245,6225,6225,35,0.57%,51,6223,735,6213,6234,6245,5010,,一般,
2005/3/7,TX,200509,6150,6160,6140,6148,38,0.62%,67,6148,862,6154,6160,6176,5512,,一般,
