交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
1998/7/21,TX,199809,8131,8131,8036,8045,-,-,208,8045,137,-,-,8131,8036,,一般,
1998/7/21,TX,199810,-,-,-,-,-,-,0,7768,0,-,-,-,-,,一般,
1998/7/21,TX,199812,-,-,-,-,-,-,0,8166,0,-,-,-,-,,一般,
1998/7/21,TX,199903,8242,8242,8242,8242,-,-,3,8242,3,-,-,8242,8242,,一般,
1998/7/21,TX,199906,-,-,-,-,-,-,0,8414,0,-,-,-,-,,一般,
1998/7/22,TX,199809,7950,7950,7820,7870,-175,-2.18%,360,7870,279,-,-,8131,7820,,一般,
1998/7/22,TX,199810,-,-,-,-,-,-,0,8009,0,-,-,-,-,,一般,
1998/7/22,TX,199812,7910,7910,7875,7875,-291,-3.56%,2,7991,2,-,-,7910,7875,,一般,
1998/7/22,TX,199903,8174,8174,8000,8000,-242,-2.94%,5,8067,7,-,-,8242,8000,,一般,
1998/7/22,TX,199906,-,-,-,-,-,-,0,8239,0,-,-,-,-,,一般,
1998/7/23,TX,199809,7830,7859,7802,7825,-45,-0.57%,190,7825,357,-,-,8131,7802,,一般,
1998/7/23,TX,199810,-,-,-,-,-,-,0,7964,0,-,-,-,-,,一般,
1998/7/23,TX,199812,7920,7920,7920,7920,-71,-0.89%,1,7946,3,-,-,7920,7875,,一般,
1998/7/23,TX,199903,8100,8100,8010,8010,-57,-0.71%,5,8010,11,-,-,8242,8000,,一般,
1998/7/23,TX,199906,-,-,-,-,-,-,0,8194,0,-,-,-,-,,一般,
1998/7/24,TX,199809,7750,7835,7740,7835,10,0.13%,340,7835,420,-,-,8131,7740,,一般,
1998/7/24,TX,199810,7770,7770,7770,7770,-194,-2.44%,1,7974,1,-,-,7770,7770,,一般,
1998/7/24,TX,199812,7940,7940,7940,7940,-6,-0.08%,1,7956,4,-,-,7940,7875,,一般,
1998/7/24,TX,199903,8020,8045,8015,8045,35,0.44%,8,8020,18,-,-,8242,8000,,一般,
1998/7/24,TX,199906,-,-,-,-,-,-,0,8204,0,-,-,-,-,,一般,
1998/7/27,TX,199809,7830,7835,7780,7786,-49,-0.63%,150,7786,466,-,-,8131,7740,,一般,
1998/7/27,TX,199810,-,-,-,-,-,-,0,7925,1,-,-,7770,7770,,一般,
1998/7/27,TX,199812,-,-,-,-,-,-,0,7907,4,-,-,7940,7875,,一般,
1998/7/27,TX,199903,8015,8020,8013,8013,-7,-0.09%,4,8015,22,-,-,8242,8000,,一般,
1998/7/27,TX,199906,-,-,-,-,-,-,0,8155,0,-,-,-,-,,一般,
1998/7/28,TX,199809,7809,7830,7741,7742,-44,-0.57%,264,7742,496,-,-,8131,7740,,一般,
1998/7/28,TX,199810,-,-,-,-,-,-,0,7881,1,-,-,7770,7770,,一般,
1998/7/28,TX,199812,8024,8025,7922,7950,43,0.54%,8,7863,9,-,-,8025,7875,,一般,
1998/7/28,TX,199903,8025,8025,8010,8010,-5,-0.06%,7,7971,27,-,-,8242,8000,,一般,
1998/7/28,TX,199906,-,-,-,-,-,-,0,8111,0,-,-,-,-,,一般,
1998/7/29,TX,199809,7710,7729,7657,7680,-62,-0.80%,323,7680,555,-,-,8131,7657,,一般,
1998/7/29,TX,199810,7750,7750,7750,7750,-131,-1.66%,1,7819,2,-,-,7770,7750,,一般,
1998/7/29,TX,199812,7885,7891,7800,7800,-63,-0.80%,9,7801,15,-,-,8025,7800,,一般,
1998/7/29,TX,199903,7945,7980,7925,7980,9,0.11%,10,7980,35,-,-,8242,7925,,一般,
1998/7/29,TX,199906,-,-,-,-,-,-,0,8049,0,-,-,-,-,,一般,
1998/7/30,TX,199809,7665,7678,7620,7638,-42,-0.55%,222,7638,580,-,-,8131,7620,,一般,
1998/7/30,TX,199810,7600,7660,7600,7660,-159,-2.03%,2,7777,3,-,-,7770,7600,,一般,
1998/7/30,TX,199812,7753,7753,7753,7753,-48,-0.62%,2,7759,16,-,-,8025,7753,,一般,
1998/7/30,TX,199903,7920,7920,7900,7900,-80,-1.00%,13,7938,46,-,-,8242,7900,,一般,
1998/7/30,TX,199906,-,-,-,-,-,-,0,8007,0,-,-,-,-,,一般,
1998/7/31,TX,199809,7660,7683,7600,7600,-38,-0.50%,257,7600,622,-,-,8131,7600,,一般,
1998/7/31,TX,199810,7599,7599,7599,7599,-178,-2.29%,1,7599,4,-,-,7770,7599,,一般,
1998/7/31,TX,199812,7777,7777,7777,7777,18,0.23%,1,7721,17,-,-,8025,7753,,一般,
1998/7/31,TX,199903,7912,7912,7855,7855,-83,-1.05%,13,7900,57,-,-,8242,7855,,一般,
1998/7/31,TX,199906,-,-,-,-,-,-,0,7969,0,-,-,-,-,,一般,

