交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2002/1/2,TX,200201,5559,5666,5475,5585,-13,-0.23%,17435,5585,9262,5585,5588,5724,4331,,一般,
2002/1/2,TX,200202,5550,5670,5476,5623,34,0.61%,44,5623,77,5601,5628,5670,5050,,一般,
2002/1/2,TX,200203,-,-,-,-,-,-,0,5579,44,5650,5730,5800,3430,,一般,
2002/1/2,TX,200206,5600,5690,5600,5690,-9,-0.16%,13,5690,11,5650,5680,5750,3395,,一般,
2002/1/2,TX,200209,-,-,-,-,-,-,0,5635,7,5521,5750,5623,3900,,一般,
2002/1/3,TX,200201,5650,5675,5460,5463,-122,-2.18%,18526,5463,9456,5463,5465,5724,4331,,一般,
2002/1/3,TX,200202,5651,5688,5460,5460,-163,-2.90%,82,5460,101,5455,5460,5688,5050,,一般,
2002/1/3,TX,200203,5520,5523,5520,5523,-56,-1.00%,2,5530,46,5460,5600,5800,3430,,一般,
2002/1/3,TX,200206,-,-,-,-,-,-,0,5568,11,5450,5690,5750,3395,,一般,
2002/1/3,TX,200209,-,-,-,-,-,-,0,5513,7,5450,5730,5623,3900,,一般,
2002/1/4,TX,200201,5682,5690,5563,5635,172,3.15%,16709,5635,9982,5635,5636,5724,4331,,一般,
2002/1/4,TX,200202,5485,5654,5485,5627,167,3.06%,81,5627,109,5612,5627,5688,5050,,一般,
2002/1/4,TX,200203,5580,5580,5580,5580,50,0.90%,1,5612,46,5612,5670,5800,3430,,一般,
2002/1/4,TX,200206,5561,5561,5561,5561,-7,-0.13%,1,5565,11,5565,5699,5750,3395,,一般,
2002/1/4,TX,200209,5680,5690,5564,5690,177,3.21%,3,5690,9,5601,5699,5690,3900,,一般,
2002/1/7,TX,200201,5635,5849,5598,5817,182,3.23%,14454,5817,10201,5816,5817,5849,4331,,一般,
2002/1/7,TX,200202,5630,5850,5575,5840,213,3.79%,130,5840,150,5812,5840,5850,5050,,一般,
2002/1/7,TX,200203,-,-,-,-,-,-,0,5794,46,5701,5883,5800,3430,,一般,
2002/1/7,TX,200206,5865,5865,5678,5801,236,4.24%,3,5801,11,5780,5888,5865,3395,,一般,
2002/1/7,TX,200209,5759,5860,5759,5860,170,2.99%,3,5860,8,5701,5892,5860,3900,,一般,
2002/1/8,TX,200201,5816,5843,5731,5815,-2,-0.03%,16170,5815,10114,5815,5816,5849,4331,,一般,
2002/1/8,TX,200202,5833,5833,5735,5810,-30,-0.51%,103,5810,166,5803,5820,5850,5050,,一般,
2002/1/8,TX,200203,5849,5849,5849,5849,55,0.95%,1,5849,46,5785,5829,5849,3430,,一般,
2002/1/8,TX,200206,5780,5780,5780,5780,-21,-0.36%,1,5780,11,5701,5900,5865,3395,,一般,
2002/1/8,TX,200209,-,-,-,-,-,-,0,5858,8,5715,5950,5860,3900,,一般,
2002/1/9,TX,200201,5815,5889,5735,5859,44,0.76%,17683,5859,9345,5859,5860,5889,4331,,一般,
2002/1/9,TX,200202,5840,5888,5740,5815,5,0.09%,208,5815,246,5811,5850,5888,5050,,一般,
2002/1/9,TX,200203,5859,5929,5812,5850,1,0.02%,15,5850,43,5780,5879,5929,3430,,一般,
2002/1/9,TX,200206,-,-,-,-,-,-,0,5824,11,5670,5950,5865,3395,,一般,
2002/1/9,TX,200209,-,-,-,-,-,-,0,5902,8,5670,5919,5860,3900,,一般,
2002/1/10,TX,200201,5825,5865,5745,5829,-30,-0.51%,16821,5829,10473,5828,5830,5889,4331,,一般,
2002/1/10,TX,200202,5849,5849,5748,5810,-5,-0.09%,368,5810,408,5802,5810,5888,5050,,一般,
