交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2013/1/2,TX,201301,7720,7804,7702,7772,95,1.24%,89092,7773,54303,7771,7772,7804,7066,,一般,
2013/1/2,TX,201302,7730,7788,7689,7758,94,1.23%,1286,7759,1952,7756,7758,7788,7459,,一般,
2013/1/2,TX,201303,7690,7775,7676,7742,90,1.18%,198,7742,1897,7743,7745,7775,6532,,一般,
2013/1/2,TX,201306,7660,7737,7650,7711,91,1.19%,108,7711,1421,7711,7712,7737,6642,,一般,
2013/1/2,TX,201309,7381,7493,7381,7467,89,1.21%,84,7467,757,7464,7468,7493,6723,,一般,
2013/1/3,TX,201301,7811,7836,7803,7823,50,0.64%,63225,7824,56979,7823,7824,7836,7066,,一般,
2013/1/3,TX,201302,7800,7821,7789,7811,52,0.67%,937,7811,2125,7811,7812,7821,7459,,一般,
2013/1/3,TX,201303,7793,7806,7782,7795,53,0.68%,136,7795,1885,7795,7800,7806,6532,,一般,
2013/1/3,TX,201306,7799,7799,7748,7764,53,0.69%,51,7764,1447,7763,7767,7799,6642,,一般,
2013/1/3,TX,201309,7540,7540,7505,7524,57,0.76%,53,7524,774,7518,7523,7540,6723,,一般,
2013/1/4,TX,201301,7800,7809,7751,7774,-50,-0.64%,71943,7775,57267,7775,7776,7836,7066,,一般,
2013/1/4,TX,201302,7805,7805,7738,7761,-50,-0.64%,1464,7761,2975,7760,7763,7821,7459,,一般,
2013/1/4,TX,201303,7773,7773,7727,7747,-48,-0.62%,108,7747,1873,7747,7751,7806,6532,,一般,
2013/1/4,TX,201306,7741,7742,7700,7716,-48,-0.62%,40,7715,1456,7714,7718,7799,6642,,一般,
2013/1/4,TX,201309,7495,7495,7455,7473,-51,-0.68%,54,7473,789,7471,7475,7540,6723,,一般,
2013/1/7,TX,201301,7743,7774,7700,7742,-33,-0.42%,81337,7741,57605,7740,7742,7836,7066,,一般,
2013/1/7,TX,201302,7741,7760,7688,7728,-33,-0.43%,1602,7726,3515,7725,7729,7821,7459,,一般,
2013/1/7,TX,201303,7715,7737,7676,7715,-32,-0.41%,109,7714,1852,7711,7716,7806,6532,,一般,
2013/1/7,TX,201306,7693,7700,7651,7681,-34,-0.44%,45,7681,1455,7678,7683,7799,6642,,一般,
2013/1/7,TX,201309,7438,7450,7401,7435,-38,-0.51%,31,7435,794,7435,7441,7540,6723,,一般,
2013/1/8,TX,201301,7732,7747,7673,7705,-36,-0.47%,90290,7709,57930,7705,7707,7836,7066,,一般,
2013/1/8,TX,201302,7709,7729,7658,7690,-36,-0.47%,2633,7692,3854,7690,7692,7821,7459,,一般,
2013/1/8,TX,201303,7714,7714,7645,7678,-36,-0.47%,342,7678,1764,7675,7678,7806,6532,,一般,
2013/1/8,TX,201306,7681,7681,7615,7646,-35,-0.46%,279,7646,1392,7640,7644,7799,6642,,一般,
2013/1/8,TX,201309,7405,7440,7375,7407,-28,-0.38%,72,7407,785,7399,7404,7540,6723,,一般,
2013/1/9,TX,201301,7686,7774,7682,7740,31,0.40%,88574,7738,58371,7738,7740,7836,7066,,一般,
2013/1/9,TX,201302,7667,7756,7666,7724,32,0.42%,3966,7724,5380,7724,7726,7821,7459,,一般,
2013/1/9,TX,201303,7659,7737,7655,7710,32,0.42%,227,7710,1800,7707,7710,7806,6532,,一般,
2013/1/9,TX,201306,7626,7700,7620,7674,28,0.37%,89,7674,1368,7671,7674,7799,6642,,一般,
2013/1/9,TX,201309,7385,7460,7380,7433,26,0.35%,48,7433,776,7432,7434,7540,6723,,一般,
2013/1/10,TX,201301,7762,7846,7759,7836,98,1.27%,122619,7833,56330,7835,7836,7846,7066,,一般,
2013/1/10,TX,201302,7747,7836,7746,7826,102,1.32%,6725,7825,8995,7827,7828,7836,7459,,一般,
2013/1/10,TX,201303,7739,7820,7739,7815,105,1.36%,278,7815,1861,7812,7816,7820,6532,,一般,
2013/1/10,TX,201306,7695,7784,7695,7771,97,1.26%,112,7771,1330,7775,7781,7799,6642,,一般,
2013/1/10,TX,201309,7473,7540,7465,7530,97,1.30%,144,7530,779,7535,7540,7540,6723,,一般,
2013/1/11,TX,201301,7863,7867,7796,7799,-34,-0.43%,90984,7802,50628,7799,7800,7867,7066,,一般,
2013/1/11,TX,201302,7855,7859,7788,7791,-34,-0.43%,12805,7794,16555,7790,7791,7859,7459,,一般,
2013/1/11,TX,201303,7823,7843,7778,7782,-33,-0.42%,401,7785,1936,7781,7783,7843,6532,,一般,
2013/1/11,TX,201306,7803,7803,7751,7756,-15,-0.19%,171,7755,1389,7751,7754,7803,6642,,一般,
2013/1/11,TX,201309,7567,7573,7515,7516,-14,-0.19%,59,7516,793,7515,7517,7573,6723,,一般,
2013/1/14,TX,201301,7730,7828,7705,7827,25,0.32%,111839,7823,41952,7826,7827,7867,7066,,一般,
2013/1/14,TX,201302,7756,7817,7697,7814,20,0.26%,19931,7812,25797,7814,7815,7859,7459,,一般,
2013/1/14,TX,201303,7753,7804,7688,7803,18,0.23%,307,7801,1999,7802,7805,7843,6532,,一般,
2013/1/14,TX,201306,7713,7768,7656,7768,13,0.17%,74,7768,1409,7768,7772,7803,6642,,一般,
2013/1/14,TX,201309,7488,7528,7428,7527,11,0.15%,78,7527,802,7528,7533,7573,6723,,一般,
2013/1/15,TX,201301,7800,7812,7728,7741,-82,-1.05%,99174,7743,30347,7740,7742,7867,7066,,一般,
2013/1/15,TX,201302,7799,7799,7714,7721,-91,-1.16%,28157,7723,36356,7720,7722,7859,7459,,一般,
2013/1/15,TX,201303,7800,7800,7705,7711,-90,-1.15%,295,7712,2082,7708,7712,7843,6532,,一般,
2013/1/15,TX,201306,7774,7774,7675,7683,-85,-1.09%,75,7682,1439,7674,7683,7803,6642,,一般,
2013/1/15,TX,201309,7496,7503,7438,7438,-89,-1.18%,67,7438,819,7435,7445,7573,6723,,一般,
2013/1/16,TX,201301,7750,7769,7698,7717,-26,-0.34%,58511,0,19771,7717,7718,7867,7066,,一般,
2013/1/16,TX,201302,7712,7747,7672,7676,-47,-0.61%,67302,7677,49956,7676,7677,7859,7459,,一般,
2013/1/16,TX,201303,7715,7735,7662,7664,-48,-0.62%,363,7665,2127,7663,7666,7843,6532,,一般,
2013/1/16,TX,201306,7689,7700,7627,7633,-49,-0.64%,83,7633,1450,7631,7633,7803,6642,,一般,
2013/1/16,TX,201309,7438,7458,7390,7390,-48,-0.65%,47,7393,817,7391,7399,7573,6723,,一般,
2013/1/17,TX,201302,7702,7767,7582,7612,-65,-0.85%,146042,7614,55365,7613,7614,7859,7459,,一般,
2013/1/17,TX,201303,7678,7751,7572,7600,-65,-0.85%,1281,7600,2420,7599,7602,7843,6532,,一般,
2013/1/17,TX,201306,7670,7713,7540,7565,-68,-0.89%,135,7565,1414,7564,7568,7803,6642,,一般,
2013/1/17,TX,201309,7432,7474,7310,7337,-56,-0.76%,139,7334,808,7331,7336,7573,6723,,一般,
2013/1/17,TX,201312,7400,7439,7280,7296,-67,-0.91%,63,7296,33,7300,7305,7439,7280,,一般,
2013/1/18,TX,201302,7692,7723,7666,7711,97,1.27%,86279,7712,53906,7711,7712,7859,7459,,一般,
2013/1/18,TX,201303,7662,7710,7654,7697,97,1.28%,879,7699,2486,7697,7700,7843,6532,,一般,
2013/1/18,TX,201306,7606,7672,7606,7664,99,1.31%,62,7664,1414,7663,7665,7803,6642,,一般,
2013/1/18,TX,201309,7387,7437,7387,7429,95,1.30%,68,7429,798,7427,7430,7573,6723,,一般,
2013/1/18,TX,201312,7339,7405,7339,7399,103,1.41%,39,7399,44,7395,7400,7439,7280,,一般,
2013/1/21,TX,201302,7683,7736,7645,7703,-9,-0.12%,94447,7704,53161,7703,7705,7859,7459,,一般,
2013/1/21,TX,201303,7679,7720,7633,7690,-9,-0.12%,818,7690,2553,7690,7693,7843,6532,,一般,
2013/1/21,TX,201306,7634,7680,7600,7654,-10,-0.13%,85,7654,1403,7654,7657,7803,6642,,一般,
2013/1/21,TX,201309,7398,7450,7370,7422,-7,-0.09%,76,7422,792,7418,7422,7573,6723,,一般,
2013/1/21,TX,201312,7399,7415,7333,7393,-6,-0.08%,19,7393,52,7388,7391,7439,7280,,一般,
2013/1/22,TX,201302,7722,7765,7672,7751,47,0.61%,106112,7748,53207,7750,7751,7859,7459,,一般,
2013/1/22,TX,201303,7710,7750,7660,7736,46,0.60%,1148,7735,2653,7735,7738,7843,6532,,一般,
2013/1/22,TX,201306,7680,7710,7630,7700,46,0.60%,106,7700,1423,7699,7703,7803,6642,,一般,
2013/1/22,TX,201309,7448,7477,7390,7468,46,0.62%,73,7468,787,7462,7467,7573,6723,,一般,
2013/1/22,TX,201312,7412,7445,7358,7426,33,0.45%,31,7426,63,7431,7435,7445,7280,,一般,
2013/1/23,TX,201302,7777,7788,7714,7723,-25,-0.32%,77820,7722,54124,7722,7723,7859,7459,,一般,
