交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2016/4/1,TX,201604,8670,8694,8598,8629,-87,-1.00%,156482,8628,70769,8629,8630,8819,8199,,一般,
2016/4/1,TX,201605,8660,8676,8583,8612,-87,-1.00%,2436,8611,6169,8612,8613,8796,8548,,一般,
2016/4/1,TX,201606,8641,8648,8561,8589,-89,-1.03%,243,8588,4797,8589,8591,8973,6936,,一般,
2016/4/1,TX,201609,8261,8290,8210,8233,-97,-1.16%,98,8233,2786,8233,8236,8601,7135,,一般,
2016/4/1,TX,201612,8249,8254,8180,8200,-89,-1.07%,81,8200,1277,8201,8205,8387,7180,,一般,
2016/4/6,TX,201604,8591,8599,8453,8460,-168,-1.95%,156407,8458,73228,8459,8461,8819,8199,,一般,
2016/4/6,TX,201605,8568,8580,8432,8441,-170,-1.97%,3070,8436,6819,8437,8440,8796,8432,,一般,
2016/4/6,TX,201606,8555,8555,8410,8410,-178,-2.07%,417,8410,4773,8414,8418,8973,6936,,一般,
2016/4/6,TX,201609,8198,8198,8058,8058,-175,-2.13%,149,8058,2777,8059,8064,8601,7135,,一般,
2016/4/6,TX,201612,8148,8148,8025,8025,-175,-2.13%,113,8025,1304,8027,8032,8387,7180,,一般,
2016/4/7,TX,201604,8470,8493,8381,8438,-20,-0.24%,152741,8438,71621,8437,8438,8819,8199,,一般,
2016/4/7,TX,201605,8446,8469,8357,8414,-22,-0.26%,2562,8415,7612,8412,8415,8796,8357,,一般,
2016/4/7,TX,201606,8434,8441,8332,8390,-20,-0.24%,399,8390,4919,8386,8390,8973,6936,,一般,
2016/4/7,TX,201609,8070,8083,7981,8040,-18,-0.22%,144,8040,2793,8036,8040,8601,7135,,一般,
2016/4/7,TX,201612,8043,8055,7949,8006,-19,-0.24%,143,8006,1408,8002,8006,8387,7180,,一般,
