交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2000/3/1,TX,200003,9701,9845,9701,9845,215,2.23%,2459,9845,4151,9844,9845,10438,6930,,一般,
2000/3/1,TX,200004,9783,9950,9780,9950,250,2.58%,149,9950,301,9891,9988,10459,9650,,一般,
2000/3/1,TX,200006,9920,10021,9920,10021,171,1.74%,10,10021,217,10021,10030,10500,6962,,一般,
2000/3/1,TX,200009,-,-,-,-,-,-,0,10045,6,-,-,10360,7600,,一般,
2000/3/1,TX,200012,-,-,-,-,-,-,0,10156,1,-,-,9813,9500,,一般,
2000/3/2,TX,200003,9839,9845,9665,9693,-152,-1.54%,2159,9693,4360,9690,9693,10438,6930,,一般,
2000/3/2,TX,200004,9905,9910,9770,9777,-173,-1.74%,131,9777,361,9774,9790,10459,9650,,一般,
2000/3/2,TX,200006,10080,10080,9888,9888,-133,-1.33%,19,9869,226,9872,9949,10500,6962,,一般,
2000/3/2,TX,200009,-,-,-,-,-,-,0,9893,6,-,-,10360,7600,,一般,
2000/3/2,TX,200012,10186,10186,10186,10186,30,0.30%,1,10186,2,10023,10186,10186,9500,,一般,
2000/3/3,TX,200003,9700,9765,9671,9760,67,0.69%,1589,9760,4480,9758,9760,10438,6930,,一般,
2000/3/3,TX,200004,9780,9840,9750,9840,63,0.64%,71,9840,387,9831,9844,10459,9650,,一般,
2000/3/3,TX,200006,9970,9970,9900,9950,81,0.82%,4,9950,226,9903,9975,10500,6962,,一般,
2000/3/3,TX,200009,-,-,-,-,-,-,0,9960,6,-,-,10360,7600,,一般,
2000/3/3,TX,200012,-,-,-,-,-,-,0,10253,2,-,-,10186,9500,,一般,
2000/3/4,TX,200003,9840,9844,9670,9675,-85,-0.87%,1682,9675,4483,9674,9675,10438,6930,,一般,
2000/3/4,TX,200004,9880,9908,9755,9758,-82,-0.83%,126,9758,426,9755,9758,10459,9650,,一般,
2000/3/4,TX,200006,10020,10020,9872,9872,-78,-0.78%,20,9872,228,9866,9949,10500,6962,,一般,
2000/3/4,TX,200009,-,-,-,-,-,-,0,9875,6,-,-,10360,7600,,一般,
2000/3/4,TX,200012,-,-,-,-,-,-,0,10168,2,-,-,10186,9500,,一般,
2000/3/6,TX,200003,9630,9645,9522,9525,-150,-1.55%,1956,9525,4565,9524,9525,10438,6930,,一般,
2000/3/6,TX,200004,9726,9728,9630,9631,-127,-1.30%,192,9631,502,9631,9635,10459,9630,,一般,
2000/3/6,TX,200006,9853,9853,9741,9746,-126,-1.28%,14,9746,230,9731,9792,10500,6962,,一般,
