交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2004/7/1,TX,200407,5794,5795,5720,5765,15,0.26%,26725,5765,22872,5763,5765,6024,5370,,一般,
2004/7/1,TX,200408,5730,5731,5674,5710,10,0.18%,149,5710,923,5712,5713,5731,5384,,一般,
2004/7/1,TX,200409,5717,5717,5668,5691,-8,-0.14%,28,5691,574,5675,5691,7265,5320,,一般,
2004/7/1,TX,200412,-,-,-,-,-,-,0,5655,106,5641,5714,7219,5339,,一般,
2004/7/1,TX,200503,-,-,-,-,-,-,0,5680,62,5641,5696,7190,5355,,一般,
2004/7/2,TX,200407,5620,5658,5561,5655,-110,-1.91%,25931,5655,21034,5655,5656,6024,5370,,一般,
2004/7/2,TX,200408,5615,5615,5560,5600,-110,-1.93%,285,5600,1067,5600,5605,5731,5384,,一般,
2004/7/2,TX,200409,5601,5601,5551,5564,-127,-2.23%,24,5581,584,5569,5593,7265,5320,,一般,
2004/7/2,TX,200412,5570,5570,5570,5570,-85,-1.50%,1,5566,107,5552,5580,7219,5339,,一般,
2004/7/2,TX,200503,5570,5570,5570,5570,-110,-1.94%,1,5557,63,5535,5580,7190,5355,,一般,
2004/7/5,TX,200407,5582,5610,5542,5597,-58,-1.03%,24339,5597,21800,5596,5597,6024,5370,,一般,
2004/7/5,TX,200408,5579,5579,5491,5548,-52,-0.93%,244,5548,1160,5542,5548,5731,5384,,一般,
2004/7/5,TX,200409,5560,5560,5481,5488,-93,-1.67%,20,5520,590,5502,5538,7265,5320,,一般,
2004/7/5,TX,200412,5481,5500,5481,5500,-66,-1.19%,2,5500,107,5491,5550,7219,5339,,一般,
2004/7/5,TX,200503,5530,5539,5530,5539,-18,-0.32%,2,5516,65,5488,5544,7190,5355,,一般,
2004/7/6,TX,200407,5622,5676,5568,5667,70,1.25%,27542,5667,22925,5666,5667,6024,5370,,一般,
2004/7/6,TX,200408,5570,5619,5523,5615,67,1.21%,235,5615,1199,5612,5617,5731,5384,,一般,
2004/7/6,TX,200409,5515,5575,5515,5575,55,1.00%,6,5587,590,5576,5599,7265,5320,,一般,
2004/7/6,TX,200412,5550,5613,5550,5613,113,2.05%,2,5575,106,5530,5621,7219,5339,,一般,
2004/7/6,TX,200503,-,-,-,-,-,-,0,5586,65,5505,5629,7190,5355,,一般,
2004/7/7,TX,200407,5550,5688,5520,5650,-17,-0.30%,37028,5650,24012,5650,5652,6024,5370,,一般,
